Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:57:07.702050000,0,0.478,0.001,-0.478,0
2023-05-12 10:57:07.712050000,0,0.378,0,-0.417,0.01
2023-05-12 10:57:07.722000000,0,0.349,0.017,-0.394,0.0199499999999534
2023-05-12 10:57:07.732050000,0,0.316,0.015,-0.402,0.03
2023-05-12 10:57:07.742050000,0,0.232,0.037,-0.363,0.04
2023-05-12 10:57:07.752050000,0,0.238,0.035,-0.378,0.05
2023-05-12 10:57:07.762000000,0,0.195,0.037,-0.318,0.0599500000001863
2023-05-12 10:57:07.772050000,0,0.187,0.027,-0.347,0.07
2023-05-12 10:57:07.782050000,0,0.085,-0.001,-0.296,0.08
2023-05-12 10:57:07.792000000,0,0.113,0.009,-0.292,0.0899500000001863
2023-05-12 10:57:07.802050000,0,-0.015,-0.011,-0.218,0.1
2023-05-12 10:57:07.812050000,0,-0.017,-0.001,-0.205,0.11
2023-05-12 10:57:07.822000000,0,-0.103,-0.007,-0.136,0.119949999999953
2023-05-12 10:57:07.832050000,0,-0.144,0,-0.093,0.13
2023-05-12 10:57:07.842050000,0,-0.203,-0.005,-0.08,0.14
2023-05-12 10:57:07.852000000,0,-0.298,0.003,0.005,0.149949999999953
2023-05-12 10:57:07.862050000,0,-0.304,0.005,0.017,0.16
2023-05-12 10:57:07.872050000,0,-0.39,0.003,0.06,0.170000000000233
2023-05-12 10:57:07.882000000,0,-0.404,0.013,0.093,0.179949999999953
2023-05-12 10:57:07.892050000,0,-0.472,0.015,0.15,0.19
2023-05-12 10:57:07.902050000,0,-0.519,0.013,0.189,0.2
2023-05-12 10:57:07.912050000,0,-0.542,0.009,0.205,0.21
2023-05-12 10:57:07.922050000,0,-0.585,-0.003,0.267,0.22
2023-05-12 10:57:07.932050000,0,-0.603,-0.011,0.263,0.23
2023-05-12 10:57:07.942050000,0,-0.654,-0.025,0.31,0.24
2023-05-12 10:57:07.952050000,0,-0.667,-0.025,0.335,0.25
2023-05-12 10:57:07.962050000,0,-0.662,0.003,0.337,0.26
