Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:48:22.046099999,0,0.343,0.031,-0.671,0
2023-05-12 10:48:22.056099999,0,0.304,0.037,-0.662,0.01
2023-05-12 10:48:22.066099999,0,0.283,0.046,-0.669,0.02
2023-05-12 10:48:22.076099999,0,0.236,0.041,-0.63,0.03
2023-05-12 10:48:22.086099999,0,0.234,0.027,-0.646,0.04
2023-05-12 10:48:22.096099999,0,0.132,0.017,-0.64,0.05
2023-05-12 10:48:22.106100000,0,0.138,0.011,-0.644,0.0600000000001164
2023-05-12 10:48:22.116100000,0,0.062,0.013,-0.597,0.0700000000001164
2023-05-12 10:48:22.126100000,0,0.066,0.007,-0.585,0.0800000000001164
2023-05-12 10:48:22.136100000,0,-0.001,-0.001,-0.566,0.0900000000001164
2023-05-12 10:48:22.146100000,0,-0.009,0.005,-0.56,0.100000000000116
2023-05-12 10:48:22.156100000,0,-0.042,0.023,-0.544,0.110000000000116
2023-05-12 10:48:22.166099999,0,-0.058,0.005,-0.521,0.12
2023-05-12 10:48:22.176099999,0,-0.074,0,-0.517,0.13
2023-05-12 10:48:22.186099999,0,-0.146,0.005,-0.496,0.14
2023-05-12 10:48:22.196099999,0,-0.142,0.013,-0.468,0.15
2023-05-12 10:48:22.206099999,0,-0.179,0.031,-0.437,0.16
2023-05-12 10:48:22.216099999,0,-0.189,0.031,-0.406,0.17
2023-05-12 10:48:22.226100000,0,-0.255,0.029,-0.396,0.180000000000116
2023-05-12 10:48:22.236100000,0,-0.275,0.031,-0.357,0.190000000000116
2023-05-12 10:48:22.246100000,0,-0.312,0.042,-0.326,0.200000000000116
2023-05-12 10:48:22.256100000,0,-0.333,0.041,-0.287,0.210000000000116
2023-05-12 10:48:22.266100000,0,-0.355,0.048,-0.279,0.220000000000116
2023-05-12 10:48:22.276100000,0,-0.402,0.037,-0.261,0.230000000000116
2023-05-12 10:48:22.286099999,0,-0.406,0.042,-0.22,0.24
2023-05-12 10:48:22.296099999,0,-0.431,0.066,-0.195,0.25
2023-05-12 10:48:22.306099999,0,-0.416,0.07,-0.162,0.26
2023-05-12 10:48:22.316099999,0,-0.482,0.062,-0.138,0.27
2023-05-12 10:48:22.326099999,0,-0.455,0.052,-0.136,0.28
2023-05-12 10:48:22.336099999,0,-0.468,0.05,-0.082,0.29
2023-05-12 10:48:22.346099999,0,-0.48,0.035,-0.044,0.3
2023-05-12 10:48:22.356100000,0,-0.49,0.037,-0.058,0.310000000000116
2023-05-12 10:48:22.366100000,0,-0.507,0.037,0.005,0.320000000000116
2023-05-12 10:48:22.376100000,0,-0.507,0.076,0.021,0.330000000000116
2023-05-12 10:48:22.386100000,0,-0.537,0.085,0.058,0.340000000000116
2023-05-12 10:48:22.396100000,0,-0.533,0.109,0.085,0.350000000000116
2023-05-12 10:48:22.406100000,0,-0.56,0.126,0.123,0.360000000000116
2023-05-12 10:48:22.416099999,0,-0.558,0.109,0.123,0.37
2023-05-12 10:48:22.426099999,0,-0.537,0.093,0.164,0.38
2023-05-12 10:48:22.436099999,0,-0.539,0.062,0.193,0.39
2023-05-12 10:48:22.446099999,0,-0.562,0.033,0.197,0.4
2023-05-12 10:48:22.456099999,0,-0.568,-0.001,0.208,0.41
2023-05-12 10:48:22.466099999,0,-0.503,0.011,0.242,0.42
2023-05-12 10:48:22.476100000,0,-0.509,0.025,0.259,0.430000000000116
2023-05-12 10:48:22.486100000,0,-0.501,0.037,0.226,0.440000000000116
2023-05-12 10:48:22.496100000,0,-0.498,0.037,0.277,0.450000000000116
2023-05-12 10:48:22.506100000,0,-0.47,0.066,0.283,0.460000000000116
2023-05-12 10:48:22.516100000,0,-0.464,0.093,0.296,0.470000000000116
2023-05-12 10:48:22.526100000,0,-0.468,0.097,0.333,0.480000000000116
2023-05-12 10:48:22.536099999,0,-0.449,0.095,0.33,0.49
2023-05-12 10:48:22.546099999,0,-0.468,0.08,0.353,0.5
2023-05-12 10:48:22.556099999,0,-0.443,0.06,0.371,0.51
2023-05-12 10:48:22.566099999,0,-0.441,0.011,0.382,0.52
2023-05-12 10:48:22.576099999,0,-0.4,-0.015,0.396,0.53
2023-05-12 10:48:22.586099999,0,-0.435,-0.021,0.382,0.54
2023-05-12 10:48:22.596099999,0,-0.408,-0.027,0.388,0.55
2023-05-12 10:48:22.606100000,0,-0.367,-0.023,0.416,0.560000000000116
2023-05-12 10:48:22.616100000,0,-0.357,0.003,0.416,0.570000000000116
2023-05-12 10:48:22.626100000,0,-0.349,0.035,0.398,0.580000000000116
2023-05-12 10:48:22.636100000,0,-0.335,0.046,0.419,0.590000000000116
2023-05-12 10:48:22.646100000,0,-0.287,0.074,0.421,0.600000000000116
2023-05-12 10:48:22.656100000,0,-0.289,0.054,0.429,0.610000000000116
2023-05-12 10:48:22.666099999,0,-0.238,0.025,0.396,0.62
2023-05-12 10:48:22.676099999,0,-0.261,-0.011,0.41,0.63
2023-05-12 10:48:22.686099999,0,-0.216,-0.031,0.402,0.64
2023-05-12 10:48:22.696099999,0,-0.201,-0.056,0.39,0.65
2023-05-12 10:48:22.706099999,0,-0.169,-0.064,0.394,0.66
2023-05-12 10:48:22.716099999,0,-0.171,-0.041,0.367,0.67
2023-05-12 10:48:22.726100000,0,-0.164,-0.007,0.373,0.680000000000116
2023-05-12 10:48:22.736100000,0,-0.128,0.052,0.382,0.690000000000116
2023-05-12 10:48:22.746100000,0,-0.117,0.039,0.398,0.700000000000116
2023-05-12 10:48:22.756100000,0,-0.074,0.037,0.343,0.710000000000116
2023-05-12 10:48:22.766100000,0,-0.093,0.015,0.343,0.720000000000116
2023-05-12 10:48:22.776100000,0,-0.056,-0.017,0.345,0.730000000000116
2023-05-12 10:48:22.786099999,0,-0.017,-0.054,0.337,0.74
2023-05-12 10:48:22.796099999,0,0,-0.08,0.306,0.75
2023-05-12 10:48:22.806099999,0,0.007,-0.052,0.296,0.76
2023-05-12 10:48:22.816099999,0,0.025,-0.013,0.283,0.77
2023-05-12 10:48:22.826099999,0,0.052,0.035,0.289,0.78
2023-05-12 10:48:22.836099999,0,0.076,0.05,0.294,0.79
2023-05-12 10:48:22.846099999,0,0.08,0.083,0.23,0.8
2023-05-12 10:48:22.856100000,0,0.072,0.068,0.251,0.810000000000116
2023-05-12 10:48:22.866100000,0,0.126,0.015,0.238,0.820000000000116
2023-05-12 10:48:22.876150000,0,0.126,-0.037,0.214,0.830050000000047
2023-05-12 10:48:22.886100000,0,0.121,-0.087,0.201,0.840000000000116
2023-05-12 10:48:22.896100000,0,0.144,-0.082,0.152,0.850000000000116
2023-05-12 10:48:22.906150000,0,0.152,-0.066,0.201,0.860050000000047
2023-05-12 10:48:22.916099999,0,0.183,-0.003,0.15,0.87
2023-05-12 10:48:22.926099999,0,0.164,0.035,0.13,0.88
2023-05-12 10:48:22.936150000,0,0.191,0.08,0.13,0.890050000000047
2023-05-12 10:48:22.946099999,0,0.189,0.087,0.103,0.9
2023-05-12 10:48:22.956099999,0,0.222,0.064,0.074,0.91
2023-05-12 10:48:22.966150000,0,0.216,0.025,0.056,0.920050000000163
2023-05-12 10:48:22.976100000,0,0.244,-0.005,0.042,0.930000000000116
2023-05-12 10:48:22.986100000,0,0.232,-0.017,0.029,0.940000000000116
2023-05-12 10:48:22.996100000,0,0.22,-0.031,0.017,0.950000000000116
2023-05-12 10:48:23.006150000,0,0.251,-0.042,0.011,0.960050000000047
2023-05-12 10:48:23.016150000,0,0.248,-0.031,0.009,0.970050000000047
2023-05-12 10:48:23.026150000,0,0.234,0.013,0,0.980050000000047
2023-05-12 10:48:23.036150000,0,0.234,0.039,-0.023,0.990050000000047
2023-05-12 10:48:23.046150000,0,0.259,0.025,-0.023,1.00005000000005
2023-05-12 10:48:23.056150000,0,0.246,0.011,-0.037,1.01005000000005
2023-05-12 10:48:23.066150000,0,0.246,0.023,-0.056,1.02005000000005
2023-05-12 10:48:23.076150000,0,0.24,0.015,-0.066,1.03005000000005
2023-05-12 10:48:23.086150000,0,0.232,0,-0.076,1.04005000000016
2023-05-12 10:48:23.096150000,0,0.23,-0.007,-0.099,1.05005000000005
2023-05-12 10:48:23.106150000,0,0.234,-0.029,-0.085,1.06005000000005
2023-05-12 10:48:23.116150000,0,0.238,-0.003,-0.097,1.07005000000005
2023-05-12 10:48:23.126150000,0,0.208,0.011,-0.126,1.08005000000005
2023-05-12 10:48:23.136150000,0,0.22,0.013,-0.117,1.09005000000005
2023-05-12 10:48:23.146150000,0,0.244,0.007,-0.132,1.10005000000005
2023-05-12 10:48:23.156150000,0,0.218,0.005,-0.14,1.11005000000005
2023-05-12 10:48:23.166150000,0,0.199,0.023,-0.171,1.12005000000005
2023-05-12 10:48:23.176150000,0,0.195,0.019,-0.166,1.13005000000005
