Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:48:16.085800000,0,0.656,0.08,-0.921,0
2023-05-12 10:48:16.095800000,0,0.583,0.082,-0.931,0.01
2023-05-12 10:48:16.105800000,0,0.542,0.103,-0.906,0.02
2023-05-12 10:48:16.115800000,0,0.509,0.07,-0.908,0.03
2023-05-12 10:48:16.125800000,0,0.431,0.05,-0.914,0.04
2023-05-12 10:48:16.135800000,0,0.375,0.017,-0.904,0.05
2023-05-12 10:48:16.145800000,0,0.373,-0.001,-0.902,0.06
2023-05-12 10:48:16.155800000,0,0.3,-0.001,-0.88,0.07
2023-05-12 10:48:16.165800000,0,0.259,-0.009,-0.894,0.08
2023-05-12 10:48:16.175799999,0,0.191,0.025,-0.871,0.0899999999998836
2023-05-12 10:48:16.185800000,0,0.166,0.029,-0.808,0.1
2023-05-12 10:48:16.195800000,0,0.121,0.068,-0.789,0.11
2023-05-12 10:48:16.205800000,0,0.06,0.099,-0.781,0.12
2023-05-12 10:48:16.215800000,0,0.041,0.085,-0.755,0.13
2023-05-12 10:48:16.225800000,0,-0.009,0.017,-0.722,0.14
2023-05-12 10:48:16.235800000,0,-0.025,-0.015,-0.708,0.15
2023-05-12 10:48:16.245800000,0,-0.083,-0.037,-0.681,0.16
2023-05-12 10:48:16.255800000,0,-0.109,-0.046,-0.679,0.17
2023-05-12 10:48:16.265800000,0,-0.167,-0.027,-0.621,0.18
2023-05-12 10:48:16.275800000,0,-0.187,0.007,-0.576,0.19
2023-05-12 10:48:16.285800000,0,-0.25,0.068,-0.535,0.2
2023-05-12 10:48:16.295799999,0,-0.3,0.076,-0.494,0.209999999999884
2023-05-12 10:48:16.305799999,0,-0.355,0.101,-0.455,0.219999999999884
2023-05-12 10:48:16.315800000,0,-0.392,0.101,-0.396,0.23
2023-05-12 10:48:16.325800000,0,-0.404,0.085,-0.351,0.24
2023-05-12 10:48:16.335800000,0,-0.441,0.056,-0.343,0.25
2023-05-12 10:48:16.345800000,0,-0.486,0.025,-0.302,0.26
2023-05-12 10:48:16.355800000,0,-0.494,0.007,-0.273,0.27
2023-05-12 10:48:16.365800000,0,-0.515,0.001,-0.216,0.28
2023-05-12 10:48:16.375800000,0,-0.523,0.035,-0.205,0.29
2023-05-12 10:48:16.385800000,0,-0.56,0.052,-0.15,0.3
2023-05-12 10:48:16.395800000,0,-0.574,0.076,-0.115,0.31
2023-05-12 10:48:16.405800000,0,-0.605,0.076,-0.056,0.32
2023-05-12 10:48:16.415800000,0,-0.585,0.109,-0.019,0.33
2023-05-12 10:48:16.425799999,0,-0.638,0.123,0.001,0.339999999999884
2023-05-12 10:48:16.435800000,0,-0.634,0.111,0.035,0.35
2023-05-12 10:48:16.445800000,0,-0.667,0.087,0.103,0.36
2023-05-12 10:48:16.455800000,0,-0.642,0.083,0.115,0.37
2023-05-12 10:48:16.465800000,0,-0.642,0.087,0.126,0.38
2023-05-12 10:48:16.475800000,0,-0.669,0.07,0.175,0.39
2023-05-12 10:48:16.485800000,0,-0.691,0.048,0.222,0.4
2023-05-12 10:48:16.495800000,0,-0.673,0.046,0.257,0.41
2023-05-12 10:48:16.505800000,0,-0.636,0.052,0.271,0.42
2023-05-12 10:48:16.515800000,0,-0.679,0.046,0.306,0.43
2023-05-12 10:48:16.525800000,0,-0.63,0.05,0.316,0.44
2023-05-12 10:48:16.535849999,0,-0.64,0.06,0.343,0.45004999999993
2023-05-12 10:48:16.545799999,0,-0.599,0.082,0.392,0.459999999999884
2023-05-12 10:48:16.555799999,0,-0.615,0.082,0.39,0.469999999999884
2023-05-12 10:48:16.565800000,0,-0.607,0.054,0.41,0.48
2023-05-12 10:48:16.575800000,0,-0.595,0.021,0.453,0.49
2023-05-12 10:48:16.585800000,0,-0.568,0.001,0.474,0.5
2023-05-12 10:48:16.595800000,0,-0.57,0.011,0.466,0.51
2023-05-12 10:48:16.605800000,0,-0.574,-0.005,0.484,0.52
2023-05-12 10:48:16.615800000,0,-0.511,-0.013,0.513,0.53
2023-05-12 10:48:16.625800000,0,-0.542,0.003,0.529,0.54
2023-05-12 10:48:16.635800000,0,-0.511,0.037,0.523,0.55
2023-05-12 10:48:16.645800000,0,-0.486,0.072,0.542,0.56
2023-05-12 10:48:16.655800000,0,-0.457,0.058,0.576,0.57
2023-05-12 10:48:16.665800000,0,-0.445,0.031,0.564,0.58
2023-05-12 10:48:16.675799999,0,-0.423,-0.011,0.566,0.589999999999884
2023-05-12 10:48:16.685800000,0,-0.359,-0.017,0.552,0.6
2023-05-12 10:48:16.695850000,0,-0.345,-0.033,0.585,0.610050000000047
2023-05-12 10:48:16.705800000,0,-0.302,-0.033,0.537,0.62
2023-05-12 10:48:16.715800000,0,-0.292,-0.037,0.548,0.63
2023-05-12 10:48:16.725850000,0,-0.238,0,0.55,0.640050000000047
2023-05-12 10:48:16.735800000,0,-0.205,0.013,0.544,0.65
2023-05-12 10:48:16.745800000,0,-0.201,0.003,0.542,0.66
2023-05-12 10:48:16.755849999,0,-0.181,0.001,0.533,0.67004999999993
2023-05-12 10:48:16.765800000,0,-0.144,-0.005,0.541,0.68
2023-05-12 10:48:16.775800000,0,-0.097,-0.011,0.56,0.69
2023-05-12 10:48:16.785849999,0,-0.097,-0.046,0.498,0.70004999999993
2023-05-12 10:48:16.795799999,0,-0.052,-0.042,0.509,0.709999999999884
2023-05-12 10:48:16.805799999,0,-0.023,-0.033,0.457,0.719999999999884
2023-05-12 10:48:16.815850000,0,0.029,-0.015,0.468,0.730050000000047
2023-05-12 10:48:16.825850000,0,0.044,0.019,0.365,0.740050000000047
2023-05-12 10:48:16.835800000,0,0.083,0.003,0.367,0.75
2023-05-12 10:48:16.845850000,0,0.097,0.007,0.357,0.760050000000047
2023-05-12 10:48:16.855849999,0,0.128,-0.015,0.33,0.77004999999993
2023-05-12 10:48:16.865800000,0,0.175,0.013,0.273,0.78
2023-05-12 10:48:16.875800000,0,0.173,0,0.244,0.79
2023-05-12 10:48:16.885849999,0,0.246,-0.007,0.205,0.80004999999993
2023-05-12 10:48:16.895800000,0,0.24,0.005,0.166,0.81
2023-05-12 10:48:16.905800000,0,0.281,0.025,0.125,0.82
2023-05-12 10:48:16.915849999,0,0.322,0.029,0.082,0.83004999999993
2023-05-12 10:48:16.925799999,0,0.345,0.029,0.041,0.839999999999884
2023-05-12 10:48:16.935800000,0,0.373,0.025,-0.005,0.85
2023-05-12 10:48:16.945850000,0,0.404,0.009,-0.046,0.860050000000047
2023-05-12 10:48:16.955800000,0,0.435,0.021,-0.085,0.87
2023-05-12 10:48:16.965800000,0,0.449,0.019,-0.164,0.88
2023-05-12 10:48:16.975850000,0,0.48,0.023,-0.189,0.890050000000047
2023-05-12 10:48:16.985800000,0,0.476,0.052,-0.214,0.9
2023-05-12 10:48:16.995800000,0,0.498,0.066,-0.251,0.91
2023-05-12 10:48:17.005849999,0,0.498,0.056,-0.3,0.92004999999993
2023-05-12 10:48:17.015849999,0,0.539,0.037,-0.353,0.93004999999993
2023-05-12 10:48:17.025849999,0,0.517,0.019,-0.357,0.94004999999993
2023-05-12 10:48:17.035849999,0,0.503,0.021,-0.417,0.95004999999993
2023-05-12 10:48:17.045850000,0,0.515,0,-0.417,0.960050000000047
2023-05-12 10:48:17.055850000,0,0.544,-0.017,-0.458,0.970050000000047
2023-05-12 10:48:17.065850000,0,0.505,-0.015,-0.533,0.980050000000047
2023-05-12 10:48:17.075850000,0,0.482,0.019,-0.542,0.990050000000047
2023-05-12 10:48:17.085850000,0,0.496,0.042,-0.529,1.00005000000005
2023-05-12 10:48:17.095850000,0,0.468,0.089,-0.544,1.01005000000005
2023-05-12 10:48:17.105849999,0,0.457,0.103,-0.617,1.02004999999993
2023-05-12 10:48:17.115849999,0,0.421,0.087,-0.603,1.03004999999993
2023-05-12 10:48:17.125849999,0,0.457,0.056,-0.605,1.04004999999993
2023-05-12 10:48:17.135849999,0,0.406,0.031,-0.642,1.05004999999993
2023-05-12 10:48:17.145849999,0,0.386,0.001,-0.669,1.06004999999993
2023-05-12 10:48:17.155849999,0,0.402,-0.015,-0.679,1.07004999999993
2023-05-12 10:48:17.165849999,0,0.392,-0.025,-0.656,1.08004999999993
2023-05-12 10:48:17.175850000,0,0.341,-0.017,-0.666,1.09005000000005
2023-05-12 10:48:17.185850000,0,0.298,0.001,-0.683,1.10005000000005
2023-05-12 10:48:17.195850000,0,0.298,0.011,-0.654,1.11005000000005
2023-05-12 10:48:17.205850000,0,0.263,0.029,-0.671,1.12005000000005
2023-05-12 10:48:17.215850000,0,0.23,0.042,-0.679,1.13005000000005
2023-05-12 10:48:17.225850000,0,0.175,0.046,-0.671,1.14005000000005
2023-05-12 10:48:17.235849999,0,0.142,0.041,-0.667,1.15004999999993
2023-05-12 10:48:17.245849999,0,0.113,0.042,-0.664,1.16004999999993
