Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:57:01.021750000,0,0.783,0.056,-0.566,0
2023-05-12 10:57:01.031750000,0,0.765,0.048,-0.521,0.01
2023-05-12 10:57:01.041699999,0,0.785,0.023,-0.583,0.0199499999999534
2023-05-12 10:57:01.051750000,0,0.695,0.001,-0.541,0.03
2023-05-12 10:57:01.061750000,0,0.71,-0.013,-0.574,0.04
2023-05-12 10:57:01.071699999,0,0.664,-0.019,-0.501,0.0499499999999534
2023-05-12 10:57:01.081750000,0,0.595,0.001,-0.498,0.06
2023-05-12 10:57:01.091750000,0,0.556,0.013,-0.511,0.07
2023-05-12 10:57:01.101700000,0,0.494,0.037,-0.406,0.0799500000001863
2023-05-12 10:57:01.111700000,0,0.494,0.06,-0.447,0.0899500000001863
2023-05-12 10:57:01.121750000,0,0.382,0.044,-0.429,0.1
2023-05-12 10:57:01.131700000,0,0.39,0.033,-0.425,0.109950000000186
2023-05-12 10:57:01.141700000,0,0.369,0.001,-0.425,0.119950000000186
2023-05-12 10:57:01.151750000,0,0.244,-0.041,-0.365,0.13
2023-05-12 10:57:01.161750000,0,0.226,-0.064,-0.408,0.14
2023-05-12 10:57:01.171700000,0,0.128,-0.062,-0.246,0.149950000000186
2023-05-12 10:57:01.181750000,0,0.113,-0.033,-0.23,0.16
2023-05-12 10:57:01.191750000,0,-0.039,-0.013,-0.179,0.17
2023-05-12 10:57:01.201700000,0,-0.07,0.031,-0.111,0.179950000000186
2023-05-12 10:57:01.211750000,0,-0.097,0.06,-0.103,0.190000000000233
2023-05-12 10:57:01.221750000,0,-0.212,0.058,-0.058,0.200000000000233
2023-05-12 10:57:01.231699999,0,-0.222,0.054,-0.089,0.209949999999953
2023-05-12 10:57:01.241750000,0,-0.298,0.025,-0.009,0.220000000000233
2023-05-12 10:57:01.251750000,0,-0.326,0.001,0.009,0.230000000000233
2023-05-12 10:57:01.261699999,0,-0.416,-0.042,0.044,0.239949999999953
2023-05-12 10:57:01.271750000,0,-0.435,-0.054,0.091,0.25
2023-05-12 10:57:01.281750000,0,-0.466,-0.041,0.15,0.26
2023-05-12 10:57:01.291699999,0,-0.525,-0.029,0.173,0.269949999999953
2023-05-12 10:57:01.301750000,0,-0.544,0.013,0.193,0.28
2023-05-12 10:57:01.311750000,0,-0.554,0.052,0.228,0.29
2023-05-12 10:57:01.321750000,0,-0.58,0.072,0.248,0.3
2023-05-12 10:57:01.331750000,0,-0.619,0.074,0.232,0.31
2023-05-12 10:57:01.341750000,0,-0.617,0.062,0.267,0.32
2023-05-12 10:57:01.351750000,0,-0.619,0.044,0.281,0.33
2023-05-12 10:57:01.361700000,0,-0.687,0.015,0.326,0.339950000000186
2023-05-12 10:57:01.371750000,0,-0.66,-0.005,0.304,0.35
2023-05-12 10:57:01.381750000,0,-0.658,-0.017,0.365,0.36
2023-05-12 10:57:01.391700000,0,-0.656,-0.003,0.38,0.369950000000186
2023-05-12 10:57:01.401750000,0,-0.634,0.009,0.322,0.38
2023-05-12 10:57:01.411750000,0,-0.626,0.035,0.373,0.39
2023-05-12 10:57:01.421700000,0,-0.556,0.052,0.322,0.399950000000186
2023-05-12 10:57:01.431750000,0,-0.566,0.037,0.294,0.41
2023-05-12 10:57:01.441750000,0,-0.492,0.029,0.281,0.42
2023-05-12 10:57:01.451700000,0,-0.431,0.005,0.234,0.429950000000186
2023-05-12 10:57:01.461750000,0,-0.427,-0.009,0.263,0.440000000000233
2023-05-12 10:57:01.471750000,0,-0.369,-0.017,0.183,0.450000000000233
2023-05-12 10:57:01.481699999,0,-0.343,-0.017,0.214,0.459949999999953
2023-05-12 10:57:01.491750000,0,-0.248,0.015,0.177,0.470000000000233
2023-05-12 10:57:01.501750000,0,-0.226,0.031,0.121,0.480000000000233
2023-05-12 10:57:01.511750000,0,-0.199,0.046,0.148,0.490000000000233
2023-05-12 10:57:01.521750000,0,-0.111,0.048,0.093,0.5
2023-05-12 10:57:01.531749999,0,-0.123,0.035,0.08,0.51
2023-05-12 10:57:01.541750000,0,-0.06,0.001,0.033,0.52
2023-05-12 10:57:01.551750000,0,-0.027,-0.021,0.005,0.53
2023-05-12 10:57:01.561750000,0,-0.021,-0.035,0.009,0.54
2023-05-12 10:57:01.571750000,0,0.009,-0.041,-0.041,0.55
2023-05-12 10:57:01.581750000,0,0.019,-0.031,-0.023,0.56
