Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:48:52.907599999,0,0.365,0.046,-0.5,0
2023-05-12 10:48:52.917599999,0,0.251,0.046,-0.519,0.01
2023-05-12 10:48:52.927599999,0,0.251,0.039,-0.525,0.02
2023-05-12 10:48:52.937600000,0,0.24,0.019,-0.488,0.0300000000001164
2023-05-12 10:48:52.947600000,0,0.203,-0.009,-0.478,0.0400000000001164
2023-05-12 10:48:52.957600000,0,0.132,-0.027,-0.498,0.0500000000001164
2023-05-12 10:48:52.967600000,0,0.08,-0.041,-0.476,0.0600000000001164
2023-05-12 10:48:52.977600000,0,0.023,-0.011,-0.396,0.0700000000001164
2023-05-12 10:48:52.987600000,0,-0.027,0.031,-0.39,0.0800000000001164
2023-05-12 10:48:52.997599999,0,-0.062,0.072,-0.386,0.09
2023-05-12 10:48:53.007650000,0,-0.052,0.099,-0.365,0.100050000000047
2023-05-12 10:48:53.017599999,0,-0.072,0.066,-0.328,0.11
2023-05-12 10:48:53.027599999,0,-0.087,0.046,-0.333,0.12
2023-05-12 10:48:53.037650000,0,-0.105,-0.023,-0.361,0.130050000000047
2023-05-12 10:48:53.047599999,0,-0.097,-0.035,-0.371,0.14
2023-05-12 10:48:53.057599999,0,-0.097,-0.046,-0.339,0.15
2023-05-12 10:48:53.067650000,0,-0.117,-0.052,-0.314,0.160050000000047
2023-05-12 10:48:53.077600000,0,-0.166,-0.009,-0.294,0.170000000000116
2023-05-12 10:48:53.087600000,0,-0.191,0.019,-0.263,0.180000000000116
2023-05-12 10:48:53.097650000,0,-0.23,0.056,-0.195,0.190050000000047
2023-05-12 10:48:53.107650000,0,-0.253,0.078,-0.183,0.200050000000047
2023-05-12 10:48:53.117600000,0,-0.341,0.058,-0.14,0.210000000000116
2023-05-12 10:48:53.127599999,0,-0.355,0.042,-0.132,0.22
2023-05-12 10:48:53.137599999,0,-0.378,0.003,-0.087,0.23
2023-05-12 10:48:53.147599999,0,-0.388,-0.007,-0.082,0.24
2023-05-12 10:48:53.157599999,0,-0.429,-0.035,-0.066,0.25
2023-05-12 10:48:53.167650000,0,-0.431,-0.031,-0.054,0.260050000000047
2023-05-12 10:48:53.177599999,0,-0.451,0.046,-0.005,0.27
2023-05-12 10:48:53.187600000,0,-0.445,0.064,0.003,0.280000000000116
2023-05-12 10:48:53.197650000,0,-0.445,0.111,0.023,0.290050000000047
2023-05-12 10:48:53.207650000,0,-0.451,0.121,0.042,0.300050000000047
2023-05-12 10:48:53.217600000,0,-0.441,0.087,0.078,0.310000000000116
2023-05-12 10:48:53.227650000,0,-0.449,0.054,0.083,0.320050000000047
2023-05-12 10:48:53.237600000,0,-0.429,0.001,0.105,0.330000000000116
2023-05-12 10:48:53.247599999,0,-0.427,-0.015,0.111,0.34
2023-05-12 10:48:53.257650000,0,-0.439,-0.035,0.158,0.350050000000047
2023-05-12 10:48:53.267650000,0,-0.462,-0.041,0.164,0.360050000000047
2023-05-12 10:48:53.277599999,0,-0.472,0.003,0.205,0.37
2023-05-12 10:48:53.287650000,0,-0.472,0.046,0.216,0.380050000000047
2023-05-12 10:48:53.297650000,0,-0.474,0.095,0.238,0.390050000000163
2023-05-12 10:48:53.307599999,0,-0.468,0.105,0.246,0.4
2023-05-12 10:48:53.317650000,0,-0.482,0.089,0.273,0.410050000000047
2023-05-12 10:48:53.327650000,0,-0.468,0.068,0.279,0.420050000000047
2023-05-12 10:48:53.337600000,0,-0.464,0.046,0.277,0.430000000000116
2023-05-12 10:48:53.347650000,0,-0.435,0.003,0.302,0.440050000000047
2023-05-12 10:48:53.357650000,0,-0.406,-0.023,0.3,0.450050000000047
2023-05-12 10:48:53.367600000,0,-0.4,-0.009,0.302,0.460000000000116
2023-05-12 10:48:53.377599999,0,-0.361,0.005,0.304,0.47
2023-05-12 10:48:53.387650000,0,-0.365,0.005,0.322,0.480050000000047
2023-05-12 10:48:53.397599999,0,-0.318,0.005,0.322,0.49
2023-05-12 10:48:53.407599999,0,-0.322,0.015,0.326,0.5
2023-05-12 10:48:53.417650000,0,-0.33,0.005,0.332,0.510050000000047
2023-05-12 10:48:53.427650000,0,-0.312,0.001,0.351,0.520050000000163
2023-05-12 10:48:53.437600000,0,-0.3,-0.015,0.361,0.530000000000116
2023-05-12 10:48:53.447650000,0,-0.289,-0.017,0.355,0.540050000000047
2023-05-12 10:48:53.457650000,0,-0.291,-0.023,0.345,0.550050000000047
2023-05-12 10:48:53.467600000,0,-0.263,0.003,0.351,0.560000000000116
2023-05-12 10:48:53.477650000,0,-0.275,0.019,0.355,0.570050000000047
