Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:21:15.628700000,0,0.488,0.054,-0.408,0
2023-05-12 10:21:15.638750000,0,0.439,-0.007,-0.431,0.0100500000000466
2023-05-12 10:21:15.648700000,0,0.419,-0.019,-0.447,0.02
2023-05-12 10:21:15.658700000,0,0.394,0.007,-0.435,0.03
2023-05-12 10:21:15.668750000,0,0.375,0.015,-0.449,0.0400499999999301
2023-05-12 10:21:15.678700000,0,0.298,0.039,-0.396,0.05
2023-05-12 10:21:15.688700000,0,0.285,0.07,-0.396,0.06
2023-05-12 10:21:15.698750000,0,0.251,0.083,-0.396,0.0700499999999302
2023-05-12 10:21:15.708700000,0,0.244,0.078,-0.414,0.08
2023-05-12 10:21:15.718700000,0,0.212,0.056,-0.419,0.09
2023-05-12 10:21:15.728750000,0,0.199,0.039,-0.384,0.10004999999993
2023-05-12 10:21:15.738750000,0,0.189,-0.021,-0.404,0.11004999999993
2023-05-12 10:21:15.748699999,0,0.185,-0.029,-0.402,0.119999999999884
2023-05-12 10:21:15.758750000,0,0.156,-0.033,-0.396,0.130050000000047
2023-05-12 10:21:15.768750000,0,0.121,-0.013,-0.386,0.140050000000047
2023-05-12 10:21:15.778700000,0,0.109,0.011,-0.333,0.15
2023-05-12 10:21:15.788750000,0,0.093,0.056,-0.324,0.16004999999993
2023-05-12 10:21:15.798750000,0,0.048,0.07,-0.335,0.17004999999993
2023-05-12 10:21:15.808750000,0,0.017,0.068,-0.312,0.18004999999993
2023-05-12 10:21:15.818750000,0,-0.003,0.05,-0.281,0.19004999999993
2023-05-12 10:21:15.828750000,0,-0.035,0.033,-0.248,0.20004999999993
2023-05-12 10:21:15.838750000,0,-0.058,-0.039,-0.242,0.21004999999993
2023-05-12 10:21:15.848699999,0,-0.085,-0.058,-0.271,0.219999999999884
2023-05-12 10:21:15.858750000,0,-0.13,-0.046,-0.214,0.23004999999993
2023-05-12 10:21:15.868750000,0,-0.148,-0.019,-0.205,0.240050000000047
2023-05-12 10:21:15.878700000,0,-0.169,0.019,-0.164,0.25
2023-05-12 10:21:15.888750000,0,-0.171,0.052,-0.15,0.260050000000047
2023-05-12 10:21:15.898750000,0,-0.177,0.076,-0.164,0.270050000000047
2023-05-12 10:21:15.908700000,0,-0.208,0.062,-0.146,0.28
2023-05-12 10:21:15.918750000,0,-0.214,0.039,-0.121,0.29004999999993
2023-05-12 10:21:15.928750000,0,-0.218,0.017,-0.085,0.30004999999993
2023-05-12 10:21:15.938700000,0,-0.205,-0.031,-0.087,0.31
2023-05-12 10:21:15.948750000,0,-0.218,-0.052,-0.093,0.32004999999993
2023-05-12 10:21:15.958750000,0,-0.236,-0.029,-0.046,0.33004999999993
2023-05-12 10:21:15.968750000,0,-0.263,0.007,-0.041,0.34004999999993
2023-05-12 10:21:15.978750000,0,-0.267,0.044,-0.009,0.35004999999993
2023-05-12 10:21:15.988750000,0,-0.287,0.072,0.021,0.36004999999993
2023-05-12 10:21:15.998699999,0,-0.283,0.072,0.023,0.369999999999884
2023-05-12 10:21:16.008750000,0,-0.318,0.035,0.042,0.380050000000047
2023-05-12 10:21:16.018750000,0,-0.333,0.005,0.066,0.390050000000047
2023-05-12 10:21:16.028800000,0,-0.333,0.009,0.099,0.400099999999977
2023-05-12 10:21:16.038750000,0,-0.31,-0.042,0.074,0.41004999999993
2023-05-12 10:21:16.048750000,0,-0.302,-0.041,0.078,0.42004999999993
2023-05-12 10:21:16.058800000,0,-0.318,-0.027,0.08,0.430099999999977
2023-05-12 10:21:16.068750000,0,-0.3,0.019,0.087,0.44004999999993
2023-05-12 10:21:16.078750000,0,-0.298,0.037,0.123,0.45004999999993
2023-05-12 10:21:16.088800000,0,-0.277,0.06,0.126,0.460099999999977
2023-05-12 10:21:16.098750000,0,-0.279,0.06,0.113,0.47004999999993
2023-05-12 10:21:16.108750000,0,-0.271,0.017,0.113,0.48004999999993
2023-05-12 10:21:16.118750000,0,-0.279,-0.015,0.167,0.490050000000047
2023-05-12 10:21:16.128750000,0,-0.261,-0.048,0.162,0.500050000000047
2023-05-12 10:21:16.138750000,0,-0.265,-0.099,0.15,0.510050000000047
2023-05-12 10:21:16.148750000,0,-0.207,-0.083,0.074,0.520050000000047
2023-05-12 10:21:16.158800000,0,-0.22,-0.021,0.095,0.530099999999977
2023-05-12 10:21:16.168750000,0,-0.23,0.041,0.099,0.54004999999993
2023-05-12 10:21:16.178750000,0,-0.201,0.07,0.054,0.55004999999993
2023-05-12 10:21:16.188750000,0,-0.171,0.097,0.068,0.56004999999993
2023-05-12 10:21:16.198750000,0,-0.136,0.085,0.041,0.57004999999993
2023-05-12 10:21:16.208750000,0,-0.171,0.025,-0.056,0.58004999999993
2023-05-12 10:21:16.218799999,0,-0.115,0.003,0.003,0.59009999999986
2023-05-12 10:21:16.228750000,0,-0.121,-0.029,-0.068,0.60004999999993
2023-05-12 10:21:16.238750000,0,-0.085,-0.068,-0.042,0.61004999999993
2023-05-12 10:21:16.248800000,0,-0.058,-0.08,-0.173,0.620099999999977
2023-05-12 10:21:16.258750000,0,-0.044,-0.056,-0.144,0.630050000000047
2023-05-12 10:21:16.268750000,0,-0.029,0.001,-0.226,0.640050000000047
2023-05-12 10:21:16.278800000,0,-0.013,0.025,-0.208,0.650099999999977
2023-05-12 10:21:16.288750000,0,0.015,0.082,-0.281,0.66004999999993
2023-05-12 10:21:16.298750000,0,0.042,0.109,-0.244,0.67004999999993
2023-05-12 10:21:16.308800000,0,0.072,0.064,-0.289,0.680099999999977
2023-05-12 10:21:16.318750000,0,0.08,0.046,-0.304,0.69004999999993
2023-05-12 10:21:16.328750000,0,0.066,0.005,-0.312,0.70004999999993
2023-05-12 10:21:16.338800000,0,0.115,-0.046,-0.347,0.710099999999977
2023-05-12 10:21:16.348750000,0,0.101,-0.054,-0.371,0.72004999999993
2023-05-12 10:21:16.358750000,0,0.058,-0.035,-0.38,0.73004999999993
2023-05-12 10:21:16.368750000,0,0.042,0.017,-0.361,0.740050000000047
2023-05-12 10:21:16.378800000,0,0.044,0.031,-0.332,0.750099999999977
2023-05-12 10:21:16.388750000,0,0.027,0.042,-0.388,0.760050000000047
2023-05-12 10:21:16.398750000,0,0.021,0.042,-0.421,0.770050000000047
2023-05-12 10:21:16.408800000,0,0,0.031,-0.404,0.780099999999977
2023-05-12 10:21:16.418750000,0,0.015,0.005,-0.384,0.79004999999993
2023-05-12 10:21:16.428750000,0,0.001,-0.023,-0.408,0.80004999999993
2023-05-12 10:21:16.438800000,0,0.011,-0.035,-0.417,0.810099999999977
2023-05-12 10:21:16.448750000,0,-0.017,-0.017,-0.326,0.82004999999993
2023-05-12 10:21:16.458750000,0,-0.013,0,-0.394,0.83004999999993
2023-05-12 10:21:16.468799999,0,-0.062,0.048,-0.351,0.84009999999986
2023-05-12 10:21:16.478750000,0,-0.035,0.066,-0.351,0.85004999999993
2023-05-12 10:21:16.488750000,0,-0.042,0.072,-0.333,0.86004999999993
2023-05-12 10:21:16.498800000,0,-0.066,0.06,-0.291,0.870099999999977
