Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:27:13.516600000,0,0.513,-0.005,-0.457,0
2023-05-12 10:27:13.526599999,0,0.515,0.007,-0.435,0.00999999999988358
2023-05-12 10:27:13.536599999,0,0.464,0.017,-0.425,0.0199999999998836
2023-05-12 10:27:13.546599999,0,0.482,0.019,-0.468,0.0299999999998836
2023-05-12 10:27:13.556600000,0,0.447,0.039,-0.373,0.04
2023-05-12 10:27:13.566600000,0,0.398,0.019,-0.398,0.05
2023-05-12 10:27:13.576600000,0,0.351,0.029,-0.38,0.06
2023-05-12 10:27:13.586600000,0,0.353,0.005,-0.378,0.07
2023-05-12 10:27:13.596600000,0,0.244,0.005,-0.289,0.08
2023-05-12 10:27:13.606600000,0,0.195,-0.013,-0.283,0.09
2023-05-12 10:27:13.616600000,0,0.087,-0.015,-0.267,0.1
2023-05-12 10:27:13.626600000,0,0.033,-0.019,-0.152,0.11
2023-05-12 10:27:13.636600000,0,-0.023,-0.027,-0.154,0.12
2023-05-12 10:27:13.646600000,0,-0.125,0,-0.111,0.13
2023-05-12 10:27:13.656599999,0,-0.123,-0.007,-0.078,0.139999999999884
2023-05-12 10:27:13.666599999,0,-0.179,0.019,-0.044,0.149999999999884
2023-05-12 10:27:13.676599999,0,-0.179,0.025,-0.037,0.159999999999884
2023-05-12 10:27:13.686600000,0,-0.218,0.042,-0.048,0.17
2023-05-12 10:27:13.696600000,0,-0.177,0.041,-0.019,0.18
2023-05-12 10:27:13.706600000,0,-0.214,0.037,-0.009,0.19
2023-05-12 10:27:13.716600000,0,-0.216,0.023,-0.027,0.2
2023-05-12 10:27:13.726600000,0,-0.224,-0.019,0.033,0.21
2023-05-12 10:27:13.736600000,0,-0.24,-0.011,0.052,0.22
2023-05-12 10:27:13.746600000,0,-0.328,-0.031,0.087,0.23
2023-05-12 10:27:13.756600000,0,-0.345,-0.029,0.115,0.24
2023-05-12 10:27:13.766600000,0,-0.414,0.003,0.191,0.25
2023-05-12 10:27:13.776599999,0,-0.431,0.013,0.179,0.259999999999884
2023-05-12 10:27:13.786599999,0,-0.472,0.027,0.203,0.269999999999884
2023-05-12 10:27:13.796599999,0,-0.498,0.033,0.248,0.279999999999884
2023-05-12 10:27:13.806600000,0,-0.554,0.021,0.236,0.29
2023-05-12 10:27:13.816600000,0,-0.572,0.017,0.279,0.3
2023-05-12 10:27:13.826600000,0,-0.558,-0.007,0.232,0.31
2023-05-12 10:27:13.836600000,0,-0.546,0.009,0.335,0.32
2023-05-12 10:27:13.846600000,0,-0.533,-0.001,0.298,0.33
2023-05-12 10:27:13.856650000,0,-0.513,0,0.279,0.34004999999993
2023-05-12 10:27:13.866600000,0,-0.46,0.017,0.298,0.35
2023-05-12 10:27:13.876600000,0,-0.425,-0.003,0.234,0.36
2023-05-12 10:27:13.886650000,0,-0.392,-0.003,0.25,0.37004999999993
2023-05-12 10:27:13.896600000,0,-0.345,-0.023,0.21,0.38
2023-05-12 10:27:13.906599999,0,-0.318,-0.023,0.22,0.389999999999884
2023-05-12 10:27:13.916650000,0,-0.341,-0.019,0.197,0.40004999999993
2023-05-12 10:27:13.926599999,0,-0.273,-0.029,0.193,0.409999999999884
2023-05-12 10:27:13.936600000,0,-0.308,0.011,0.248,0.42
2023-05-12 10:27:13.946600000,0,-0.289,0.015,0.234,0.43
2023-05-12 10:27:13.956600000,0,-0.32,0.023,0.246,0.44
2023-05-12 10:27:13.966600000,0,-0.283,0.027,0.238,0.45
2023-05-12 10:27:13.976600000,0,-0.283,0.019,0.23,0.46
2023-05-12 10:27:13.986600000,0,-0.265,0.007,0.197,0.47
2023-05-12 10:27:13.996600000,0,-0.285,-0.007,0.216,0.48
2023-05-12 10:27:14.006650000,0,-0.21,-0.031,0.179,0.49004999999993
2023-05-12 10:27:14.016650000,0,-0.167,-0.048,0.121,0.50004999999993
2023-05-12 10:27:14.026650000,0,-0.156,-0.05,0.111,0.51004999999993
2023-05-12 10:27:14.036650000,0,-0.046,-0.039,0.097,0.52004999999993
2023-05-12 10:27:14.046650000,0,-0.033,-0.009,0.091,0.530050000000047
2023-05-12 10:27:14.056650000,0,0.015,0.019,0.033,0.540050000000047
2023-05-12 10:27:14.066650000,0,0.027,0.029,0.066,0.550050000000047
2023-05-12 10:27:14.076650000,0,0.091,0.048,0.029,0.560050000000047
2023-05-12 10:27:14.086650000,0,0.089,0.041,0.052,0.57004999999993
2023-05-12 10:27:14.096650000,0,0.117,0.017,0.021,0.58004999999993
2023-05-12 10:27:14.106650000,0,0.126,0,0.025,0.59004999999993
2023-05-12 10:27:14.116650000,0,0.113,-0.007,0.007,0.60004999999993
2023-05-12 10:27:14.126650000,0,0.117,-0.035,-0.039,0.61004999999993
2023-05-12 10:27:14.136650000,0,0.126,-0.035,0.001,0.62004999999993
2023-05-12 10:27:14.146650000,0,0.123,-0.033,-0.035,0.63004999999993
2023-05-12 10:27:14.156650000,0,0.103,-0.019,-0.021,0.64004999999993
2023-05-12 10:27:14.166650000,0,0.121,0.011,0.001,0.65004999999993
2023-05-12 10:27:14.176650000,0,0.144,0.013,-0.037,0.660050000000047
2023-05-12 10:27:14.186650000,0,0.173,0.033,-0.039,0.670050000000047
2023-05-12 10:27:14.196650000,0,0.197,0.017,-0.111,0.680050000000047
2023-05-12 10:27:14.206650000,0,0.261,0.017,-0.095,0.690050000000047
2023-05-12 10:27:14.216650000,0,0.259,0.009,-0.15,0.70004999999993
2023-05-12 10:27:14.226650000,0,0.306,-0.009,-0.148,0.71004999999993
2023-05-12 10:27:14.236650000,0,0.312,0.001,-0.158,0.72004999999993
2023-05-12 10:27:14.246650000,0,0.33,-0.003,-0.128,0.73004999999993
2023-05-12 10:27:14.256650000,0,0.294,0.007,-0.169,0.74004999999993
2023-05-12 10:27:14.266650000,0,0.306,-0.003,-0.134,0.75004999999993
2023-05-12 10:27:14.276650000,0,0.273,0.013,-0.109,0.76004999999993
2023-05-12 10:27:14.286650000,0,0.21,0.011,-0.123,0.77004999999993
2023-05-12 10:27:14.296650000,0,0.224,0.003,-0.103,0.780050000000047
2023-05-12 10:27:14.306650000,0,0.203,-0.003,-0.105,0.790050000000047
2023-05-12 10:27:14.316650000,0,0.177,-0.015,-0.123,0.800050000000047
2023-05-12 10:27:14.326650000,0,0.144,-0.011,-0.123,0.810050000000047
2023-05-12 10:27:14.336650000,0,0.15,-0.021,-0.097,0.82004999999993
2023-05-12 10:27:14.346650000,0,0.134,-0.005,-0.097,0.83004999999993
2023-05-12 10:27:14.356650000,0,0.156,-0.003,-0.085,0.84004999999993
2023-05-12 10:27:14.366650000,0,0.14,0.017,-0.117,0.85004999999993
2023-05-12 10:27:14.376650000,0,0.166,0.031,-0.076,0.86004999999993
2023-05-12 10:27:14.386650000,0,0.183,0.042,-0.087,0.87004999999993
2023-05-12 10:27:14.396650000,0,0.173,0.041,-0.121,0.88004999999993
2023-05-12 10:27:14.406650000,0,0.203,0.031,-0.103,0.89004999999993
2023-05-12 10:27:14.416650000,0,0.201,0.007,-0.15,0.90004999999993
