Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:21:20.859000000,0,0.355,-0.062,-0.642,0
2023-05-12 10:21:20.869000000,0,0.355,-0.085,-0.638,0.01
2023-05-12 10:21:20.878950000,0,0.314,-0.033,-0.609,0.0199500000000698
2023-05-12 10:21:20.889000000,0,0.253,0.017,-0.607,0.03
2023-05-12 10:21:20.899000000,0,0.238,0.082,-0.589,0.04
2023-05-12 10:21:20.908949999,0,0.203,0.123,-0.554,0.0499499999999534
2023-05-12 10:21:20.919000000,0,0.179,0.126,-0.554,0.06
2023-05-12 10:21:20.929000000,0,0.144,0.068,-0.523,0.0700000000001164
2023-05-12 10:21:20.938950000,0,0.107,-0.003,-0.517,0.0799500000000699
2023-05-12 10:21:20.948950000,0,0.064,-0.041,-0.47,0.0899500000000698
2023-05-12 10:21:20.959000000,0,0.023,-0.078,-0.437,0.100000000000116
2023-05-12 10:21:20.969000000,0,-0.015,-0.091,-0.384,0.11
2023-05-12 10:21:20.978950000,0,-0.089,-0.06,-0.353,0.11995000000007
2023-05-12 10:21:20.989000000,0,-0.107,0,-0.304,0.13
2023-05-12 10:21:20.999000000,0,-0.179,0.062,-0.255,0.14
2023-05-12 10:21:21.009000000,0,-0.216,0.107,-0.218,0.15
2023-05-12 10:21:21.019000000,0,-0.267,0.093,-0.189,0.16
2023-05-12 10:21:21.029000000,0,-0.316,0.06,-0.134,0.17
2023-05-12 10:21:21.039000000,0,-0.335,0.023,-0.138,0.18
2023-05-12 10:21:21.049000000,0,-0.373,-0.009,-0.082,0.190000000000116
2023-05-12 10:21:21.059000000,0,-0.398,-0.041,-0.062,0.200000000000116
2023-05-12 10:21:21.069000000,0,-0.453,-0.052,-0.015,0.210000000000116
2023-05-12 10:21:21.079000000,0,-0.468,-0.011,0.013,0.220000000000116
2023-05-12 10:21:21.089000000,0,-0.5,0.052,0.054,0.23
2023-05-12 10:21:21.099000000,0,-0.519,0.115,0.076,0.24
2023-05-12 10:21:21.109000000,0,-0.548,0.16,0.125,0.25
2023-05-12 10:21:21.119000000,0,-0.531,0.13,0.152,0.26
2023-05-12 10:21:21.129000000,0,-0.539,0.08,0.148,0.27
2023-05-12 10:21:21.139000000,0,-0.542,0.021,0.167,0.28
2023-05-12 10:21:21.149000000,0,-0.519,-0.023,0.183,0.29
2023-05-12 10:21:21.159050000,0,-0.529,-0.054,0.23,0.300050000000047
