Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 10:22:37.482750000,0,0.527,0.101,-0.548,0
2023-05-12 10:22:37.492750000,0,0.47,0.076,-0.558,0.01
2023-05-12 10:22:37.502750000,0,0.437,0.039,-0.541,0.02
2023-05-12 10:22:37.512750000,0,0.355,-0.005,-0.548,0.0300000000001164
2023-05-12 10:22:37.522750000,0,0.318,-0.023,-0.525,0.0400000000001164
2023-05-12 10:22:37.532800000,0,0.275,-0.041,-0.525,0.0500500000000466
2023-05-12 10:22:37.542750000,0,0.222,-0.044,-0.523,0.0600000000001164
2023-05-12 10:22:37.552750000,0,0.208,-0.021,-0.498,0.0700000000001164
2023-05-12 10:22:37.562750000,0,0.187,0.017,-0.494,0.08
2023-05-12 10:22:37.572800000,0,0.138,0.056,-0.507,0.0900500000000466
2023-05-12 10:22:37.582750000,0,0.164,0.062,-0.501,0.1
2023-05-12 10:22:37.592750000,0,0.13,0.064,-0.482,0.11
2023-05-12 10:22:37.602750000,0,0.093,0.027,-0.494,0.12
2023-05-12 10:22:37.612750000,0,0.105,0.001,-0.449,0.13
2023-05-12 10:22:37.622750000,0,0.048,-0.015,-0.431,0.14
2023-05-12 10:22:37.632750000,0,-0.027,-0.019,-0.408,0.15
2023-05-12 10:22:37.642750000,0,-0.068,-0.025,-0.347,0.160000000000116
2023-05-12 10:22:37.652750000,0,-0.132,-0.029,-0.31,0.170000000000116
2023-05-12 10:22:37.662800000,0,-0.207,-0.011,-0.259,0.180050000000047
2023-05-12 10:22:37.672750000,0,-0.236,0.023,-0.24,0.190000000000116
2023-05-12 10:22:37.682750000,0,-0.33,0.056,-0.216,0.2
2023-05-12 10:22:37.692800000,0,-0.375,0.078,-0.16,0.210050000000047
2023-05-12 10:22:37.702750000,0,-0.416,0.076,-0.115,0.22
2023-05-12 10:22:37.712750000,0,-0.47,0.05,-0.105,0.23
2023-05-12 10:22:37.722800000,0,-0.468,0.019,-0.07,0.240050000000047
2023-05-12 10:22:37.732750000,0,-0.492,0.001,-0.031,0.25
2023-05-12 10:22:37.742750000,0,-0.529,0.005,-0.027,0.26
2023-05-12 10:22:37.752800000,0,-0.503,-0.005,0.052,0.270050000000047
2023-05-12 10:22:37.762750000,0,-0.527,0.017,0.083,0.280000000000116
2023-05-12 10:22:37.772750000,0,-0.593,0.029,0.066,0.290000000000116
2023-05-12 10:22:37.782800000,0,-0.531,0.039,0.13,0.300050000000047
2023-05-12 10:22:37.792800000,0,-0.535,0.052,0.185,0.310050000000047
2023-05-12 10:22:37.802750000,0,-0.601,0.089,0.167,0.320000000000116
2023-05-12 10:22:37.812750000,0,-0.605,0.08,0.183,0.33
