Time,gyro_accuracy,gyro_z,gyro_y,gyro_x,time
2023-05-12 11:04:27.503900000,0,-0.279,0.013,0.001,0
2023-05-12 11:04:27.513900000,0,-0.308,0.013,0.031,0.01
2023-05-12 11:04:27.523900000,0,-0.345,0.009,0.066,0.02
2023-05-12 11:04:27.533900000,0,-0.396,0,0.072,0.03
2023-05-12 11:04:27.543900000,0,-0.447,-0.001,0.107,0.04
2023-05-12 11:04:27.553900000,0,-0.462,0,0.15,0.05
2023-05-12 11:04:27.563900000,0,-0.511,0,0.156,0.06
2023-05-12 11:04:27.573900000,0,-0.529,0.013,0.156,0.07
2023-05-12 11:04:27.583900000,0,-0.568,0.011,0.183,0.08
2023-05-12 11:04:27.593900000,0,-0.568,0.017,0.189,0.09
2023-05-12 11:04:27.603900000,0,-0.589,0.023,0.205,0.1
2023-05-12 11:04:27.613900000,0,-0.605,0.019,0.203,0.11
2023-05-12 11:04:27.623900000,0,-0.582,0.031,0.193,0.12
2023-05-12 11:04:27.633900000,0,-0.587,0.027,0.222,0.13
2023-05-12 11:04:27.643900000,0,-0.556,0.031,0.162,0.14
2023-05-12 11:04:27.653899999,0,-0.535,0.027,0.189,0.149999999999767
2023-05-12 11:04:27.663899999,0,-0.521,0.035,0.166,0.159999999999767
2023-05-12 11:04:27.673899999,0,-0.521,0.021,0.167,0.169999999999767
2023-05-12 11:04:27.683899999,0,-0.496,0.009,0.142,0.179999999999767
2023-05-12 11:04:27.693899999,0,-0.453,0.011,0.142,0.189999999999767
2023-05-12 11:04:27.703900000,0,-0.455,0.009,0.14,0.2
2023-05-12 11:04:27.713900000,0,-0.433,0.011,0.097,0.21
2023-05-12 11:04:27.723900000,0,-0.429,0.013,0.138,0.22
2023-05-12 11:04:27.733900000,0,-0.388,0.029,0.082,0.23
2023-05-12 11:04:27.743900000,0,-0.404,0.042,0.103,0.24
2023-05-12 11:04:27.753900000,0,-0.384,0.033,0.078,0.25
2023-05-12 11:04:27.763900000,0,-0.357,0.046,0.08,0.26
2023-05-12 11:04:27.773900000,0,-0.359,0.035,0.089,0.27
2023-05-12 11:04:27.783900000,0,-0.335,0.025,0.025,0.28
2023-05-12 11:04:27.793900000,0,-0.324,0.011,0.06,0.29
2023-05-12 11:04:27.803900000,0,-0.281,0.015,0.005,0.3
2023-05-12 11:04:27.813900000,0,-0.294,0.003,0.017,0.31
2023-05-12 11:04:27.823900000,0,-0.263,0.003,-0.007,0.32
2023-05-12 11:04:27.833900000,0,-0.216,0.021,-0.011,0.33
2023-05-12 11:04:27.843900000,0,-0.218,0.021,-0.003,0.34
2023-05-12 11:04:27.853900000,0,-0.195,0.021,-0.064,0.35
2023-05-12 11:04:27.863900000,0,-0.189,0.017,-0.021,0.36
2023-05-12 11:04:27.873900000,0,-0.164,0.029,-0.046,0.37
2023-05-12 11:04:27.883900000,0,-0.175,0.015,-0.05,0.38
2023-05-12 11:04:27.893900000,0,-0.171,0.005,-0.041,0.39
2023-05-12 11:04:27.903899999,0,-0.164,0.011,-0.052,0.399999999999767
2023-05-12 11:04:27.913899999,0,-0.191,0,-0.029,0.409999999999767
2023-05-12 11:04:27.923899999,0,-0.201,-0.001,-0.05,0.419999999999767
2023-05-12 11:04:27.933899999,0,-0.214,-0.007,0.013,0.429999999999767
2023-05-12 11:04:27.943899999,0,-0.21,-0.001,-0.005,0.439999999999767
2023-05-12 11:04:27.953900000,0,-0.24,-0.001,-0.015,0.45
2023-05-12 11:04:27.963949999,0,-0.246,-0.001,-0.011,0.460049999999814
2023-05-12 11:04:27.973900000,0,-0.234,0.013,0.003,0.47
2023-05-12 11:04:27.983900000,0,-0.25,0.011,0.015,0.48
2023-05-12 11:04:27.993949999,0,-0.25,0.007,-0.021,0.490049999999814
2023-05-12 11:04:28.003949999,0,-0.248,0,0.005,0.500049999999814
2023-05-12 11:04:28.013949999,0,-0.228,0.009,0,0.510049999999814
2023-05-12 11:04:28.023949999,0,-0.238,-0.001,-0.013,0.520049999999814
2023-05-12 11:04:28.033949999,0,-0.228,0.001,0.001,0.530049999999814
2023-05-12 11:04:28.043949999,0,-0.21,0.009,-0.025,0.540049999999814
